Name	MS2FormulaType	Q1	Q3	CE	Polarity	Formula	MS2Formula	IntegrationStartTime	IntegrationEndTime	Tags
PC_30:0	ConstantProduct	706.5381314807606	184.07332101418055		Positive	C38H77O8N1P1	C5H15O4N1P1	0	120	
PC_30:1	ConstantProduct	704.5224814166205	184.07332101418055		Positive	C38H75O8N1P1	C5H15O4N1P1	0	120	
PC_30:2	ConstantProduct	702.5068313524806	184.07332101418055		Positive	C38H73O8N1P1	C5H15O4N1P1	0	120	
PC_30:3	ConstantProduct	700.4911812883405	184.07332101418055		Positive	C38H71O8N1P1	C5H15O4N1P1	0	120	
PC_30:4	ConstantProduct	698.4755312242006	184.07332101418055		Positive	C38H69O8N1P1	C5H15O4N1P1	0	120	
PC_30:5	ConstantProduct	696.4598811600605	184.07332101418055		Positive	C38H67O8N1P1	C5H15O4N1P1	0	120	
PC_30:6	ConstantProduct	694.4442310959206	184.07332101418055		Positive	C38H65O8N1P1	C5H15O4N1P1	0	120	
PC_30:7	ConstantProduct	692.4285810317805	184.07332101418055		Positive	C38H63O8N1P1	C5H15O4N1P1	0	120	
PC_32:0	ConstantProduct	734.5694316090406	184.07332101418055		Positive	C40H81O8N1P1	C5H15O4N1P1	0	120	
PC_32:1	ConstantProduct	732.5537815449005	184.07332101418055		Positive	C40H79O8N1P1	C5H15O4N1P1	0	120	
PC_32:4	ConstantProduct	726.5068313524806	184.07332101418055		Positive	C40H73O8N1P1	C5H15O4N1P1	0	120	
PC_32:5	ConstantProduct	724.4911812883405	184.07332101418055		Positive	C40H71O8N1P1	C5H15O4N1P1	0	120	
PC_32:6	ConstantProduct	722.4755312242006	184.07332101418055		Positive	C40H69O8N1P1	C5H15O4N1P1	0	120	
PC_32:7	ConstantProduct	720.4598811600605	184.07332101418055		Positive	C40H67O8N1P1	C5H15O4N1P1	0	120	
PC_32:8	ConstantProduct	718.4442310959206	184.07332101418055		Positive	C40H65O8N1P1	C5H15O4N1P1	0	120	
PC_34:0	ConstantProduct	762.6007317373206	184.07332101418055		Positive	C42H85O8N1P1	C5H15O4N1P1	0	120	
PC_34:1	ConstantProduct	760.5850816731805	184.07332101418055		Positive	C42H83O8N1P1	C5H15O4N1P1	0	120	
PC_34:2	ConstantProduct	758.5694316090406	184.07332101418055		Positive	C42H81O8N1P1	C5H15O4N1P1	0	120	
PC_34:3	ConstantProduct	756.5537815449005	184.07332101418055		Positive	C42H79O8N1P1	C5H15O4N1P1	0	120	
PC_34:4	ConstantProduct	754.5381314807606	184.07332101418055		Positive	C42H77O8N1P1	C5H15O4N1P1	0	120	
